LAT,LONG,BankCount
45.46,-98.48,17
46.88,-123.99,16
34.77,-96.66,18
41.89,-84.04,27
32.88,-105.95,8
35.36,-80.19,19
43.65,-93.36,15
34.26,-86.2,36
45.87,-95.37,18
27.75,-98.06,10
43.37,-84.65,18
45.07,-83.43,7
34.64,-99.31,10
32.06,-84.26,10
42.94,-74.19,14
32.32,-102.54,4
41.64,-85,15
27.21,-81.85,6
34.17,-97.14,23
34.12,-93.07,10
37.06,-97.04,19
40.86,-82.31,19
41.87,-80.79,30
46.12,-123.67,13
39.56,-95.13,7
39.32,-82.09,28
35.45,-84.6,16
32.2,-95.85,23
41.36,-85.05,14
42.93,-76.56,19
39.3,-78.59,18
43.67,-92.97,18
30.8,-84.5,9
43.46,-89.74,28
37.81,-85.46,18
44.2,-72.5,14
36.73,-95.94,17
32.77,-91.9,9
42.99,-78.18,17
35.76,-91.62,19
28.97,-95.96,9
40.26,-96.74,20
43.46,-88.83,31
38.86,-86.49,9
28.4,-97.74,7
40.36,-83.75,14
47.48,-94.87,15
34.63,-79.68,7
42.87,-73.18,10
44.48,-71.25,6
43.7,-85.48,13
32.24,-101.47,9
36.86,-82.77,33
43.27,-112.56,10
37.26,-81.21,55
35.93,-89.92,16
30.78,-89.86,9
42.05,-93.88,12
36.2,-81.66,15
35.65,-101.4,4
45.67,-111.03,36
41.96,-78.64,14
46.35,-94.19,44
36.64,-93.24,46
39.5,-106.04,18
30.15,-96.39,13
35.23,-82.73,9
31.58,-90.44,13
42.13,-124.24,7
44.3,-96.78,14
31.72,-98.97,13
40.8,-82.97,12
42.39,-113.78,13
40.8,-91.12,21
46.01,-90.49,9
44.24,-85.41,19
34.49,-84.94,16
38.56,-76.07,14
40.02,-81.58,14
33.56,-92.84,15
37.34,-85.34,13
38.44,-105.23,14
40.56,-90.04,18
31.59,-100.63,14
37.66,-113.19,10
34.01,-85.25,7
40.55,-84.57,19
38.52,-89.12,14
46.74,-122.95,21
38.35,-81.63,26
39.33,-82.98,18
37.22,-76.96,49
39.28,-80.33,40
34.2,-90.57,14
38.96,-122.64,14
33.74,-90.72,16
26.75,-80.93,8
41.84,-90.23,21
34.41,-103.2,18
37.04,-95.63,18
41.94,-85,18
33.5,-88.4,21
41.43,-97.35,26
43.23,-71.56,19
39.65,-85.14,8
36.15,-85.5,41
43.37,-124.14,18
31.96,-83.77,6
34.93,-88.51,14
34.51,-83.52,12
42.14,-77.05,27
32.08,-96.46,16
42.6,-76.18,15
40.26,-81.84,9
40.52,-107.55,4
40.04,-86.89,19
41.75,-124.2,5
35.95,-85.03,18
34.17,-86.83,29
35.31,-83.17,10
37.64,-84.77,25
36.58,-79.39,42
35.49,-85.01,9
40.83,-84.92,12
41.28,-84.36,14
29.37,-100.89,9
32.26,-107.75,3
30.77,-93.24,10
46.88,-102.78,19
41.84,-89.47,15
37.75,-100.01,16
31.5,-82.85,15
32.53,-82.92,22
38.45,-86.8,26
35.86,-101.96,7
34.52,-97.96,20
35.31,-78.61,28
37.14,-107.88,20
33.98,-96.39,17
36.03,-89.38,16
28.7,-100.49,11
38.77,-76.07,27
