avgIncome,LatM,LongM,LATB,LONGB,BankCount
238411,33.606379,-86.50249,45.46,-98.48,17
128648,33.592585,-86.95969,46.88,-123.99,16
57631,33.451714,-87.23957,34.77,-96.66,18
602904,33.232422,-86.80871,41.89,-84.04,27
390844,32.903432,-85.92669,32.88,-105.95,8
62366,33.35596,-86.2772,35.36,-80.19,19
324392,34.323715,-86.49278,43.65,-93.36,15
33116,34.29254,-86.63505,34.26,-86.2,36
272871,33.405559,-86.95141,45.87,-95.37,18
478496,33.346817,-86.95252,27.75,-98.06,10
464811,33.443039,-87.0193,43.37,-84.65,18
108372,34.111425,-86.5338,45.07,-83.43,7
58236,33.952939,-87.02889,34.64,-99.31,10
55223,32.915182,-87.21488,32.06,-84.26,10
29355,33.041166,-86.95117,42.94,-74.19,14
320753,33.107572,-86.74996,32.32,-102.54,4
92299,32.963486,-87.13867,41.64,-85,15
287275,33.317093,-86.66295,27.21,-81.85,6
117773,33.268471,-86.35582,34.17,-97.14,23
220018,32.834501,-86.64355,34.12,-93.07,10
116119,32.894351,-86.56504,37.06,-97.04,19
66517,33.963435,-86.5954,40.86,-82.31,19
170350,33.201789,-86.61584,41.87,-80.79,30
50134,34.041061,-87.06771,46.12,-123.67,13
97955,33.506012,-86.31547,39.56,-95.13,7
329682,34.167893,-86.82506,39.32,-82.09,28
220172,34.139198,-86.92449,35.45,-84.6,16
178366,34.223732,-86.7562,32.2,-95.85,23
23346,33.462541,-86.95736,41.36,-85.05,14
154642,33.731278,-87.0361,42.93,-76.56,19
47318,33.805216,-87.00192,39.3,-78.59,18
160436,33.476908,-86.91684,43.67,-92.97,18
146817,33.611297,-86.81518,30.8,-84.5,9
386993,33.67933,-86.8206,43.46,-89.74,28
63111,33.089342,-86.04682,37.81,-85.46,18
36437,33.640865,-86.96885,44.2,-72.5,14
186885,34.043589,-86.80644,36.73,-95.94,17
40052,33.337092,-86.44085,32.77,-91.9,9
152503,33.922179,-86.7607,42.99,-78.18,17
427720,33.280625,-86.88411,35.76,-91.62,19
45469,34.198738,-86.59814,28.97,-95.96,9
139335,32.96512,-86.74405,40.26,-96.74,20
30044,34.303718,-86.58323,43.46,-88.83,31
19970,32.941708,-86.06098,38.86,-86.49,9
61606,33.77109,-86.80672,28.4,-97.74,7
303754,33.530698,-86.55506,40.36,-83.75,14
138264,33.605233,-86.12079,47.48,-94.87,15
31550,33.896526,-86.63056,34.63,-79.68,7
19337,34.120006,-87.05075,42.87,-73.18,10
376603,33.279946,-87.10148,44.48,-71.25,6
159292,33.225377,-86.86443,43.7,-85.48,13
204907,33.114972,-86.8738,32.24,-101.47,9
103699,33.74137,-86.78543,36.86,-82.77,33
151572,33.665823,-86.87111,43.27,-112.56,10
64296,33.529224,-87.01546,37.26,-81.21,55
256121,33.668341,-86.43641,35.93,-89.92,16
280407,33.944897,-86.45813,30.78,-89.86,9
707804,33.317471,-86.78726,42.05,-93.88,12
169874,33.606663,-86.28912,36.2,-81.66,15
479390,33.728568,-86.66052,35.65,-101.4,4
214440,33.487675,-86.97331,45.67,-111.03,36
196607,33.561597,-86.30285,41.96,-78.64,14
49642,33.640629,-87.11584,46.35,-94.19,44
53255,33.721107,-86.17492,36.64,-93.24,46
67392,33.827521,-86.60703,39.5,-106.04,18
39127,33.614465,-86.20067,30.15,-96.39,13
28364,32.8697,-86.2822,35.23,-82.73,9
54587,33.080971,-86.53875,31.58,-90.44,13
216279,33.781133,-86.45052,42.13,-124.24,7
144924,33.397441,-86.54218,44.3,-96.78,14
46071,33.753474,-87.04756,31.72,-98.97,13
273020,33.185782,-86.25105,40.8,-82.97,12
118658,33.137515,-86.33414,42.39,-113.78,13
351335,33.415449,-86.10908,40.8,-91.12,21
61782,32.907616,-86.71868,46.01,-90.49,9
43806,33.823416,-86.71537,44.24,-85.41,19
823382,33.623485,-86.58546,34.49,-84.94,16
116155,34.426844,-86.51841,38.56,-76.07,14
15084,33.4776,-86.5126,40.02,-81.58,14
60826,33.414831,-86.3925,33.56,-92.84,15
153318,34.256106,-86.92158,37.34,-85.34,13
282233,33.82343,-86.81569,38.44,-105.23,14
11919,33.016558,-86.33936,40.56,-90.04,18
81859,33.118259,-87.13548,31.59,-100.63,14
105823,33.241272,-86.50614,37.66,-113.19,10
56621,33.195743,-87.16252,34.01,-85.25,7
114890,33.519055,-86.8097,40.55,-84.57,19
98968,33.519855,-86.83534,38.52,-89.12,14
363418,33.497055,-86.8057,46.74,-122.95,21
199062,33.568573,-86.72163,38.35,-81.63,26
91732,33.560652,-86.81897,39.33,-82.98,18
182975,33.494545,-86.88115,37.22,-76.96,49
823291,33.468306,-86.80814,39.28,-80.33,40
320844,33.546051,-86.66963,34.2,-90.57,14
314787,33.479306,-86.85878,38.96,-122.64,14
147270,33.542004,-86.74896,33.74,-90.72,16
1132492,33.507637,-86.74161,26.75,-80.93,8
313137,33.558772,-86.89199,41.84,-90.23,21
667584,33.636102,-86.69506,34.41,-103.2,18
1124606,33.420558,-86.78489,37.04,-95.63,18
171518,33.590003,-86.76708,41.94,-85,18
70935,33.506456,-86.89524,33.5,-88.4,21
51927,33.450267,-86.8965,41.43,-97.35,26
249161,33.524254,-86.77335,43.23,-71.56,19
1432287,33.488355,-86.73402,39.65,-85.14,8
69950,33.517706,-86.93189,36.15,-85.5,41
1220212,33.406409,-86.8295,43.37,-124.14,18
133919,33.454262,-86.92273,31.96,-83.77,6
28636,33.509623,-86.7997,34.93,-88.51,14
52573,33.538504,-86.80602,34.51,-83.52,12
376058,33.609779,-86.65507,42.14,-77.05,27
2574506,33.409582,-86.69684,32.08,-96.46,16
994196,33.437667,-86.74586,42.6,-76.18,15
1261126,33.356981,-86.81577,40.26,-81.84,9
