ZIPCODE,Avg Gross Income,Lat,Long,JSON-style lat/lon/money
35004,238411,33.606379,-86.50249,"33.606379, -86.50249, 238411"
35005,128648,33.592585,-86.95969,"33.592585, -86.95969, 128648"
35006,57631,33.451714,-87.23957,"33.451714, -87.23957, 57631"
35007,602904,33.232422,-86.80871,"33.232422, -86.80871, 602904"
35010,390844,32.903432,-85.92669,"32.903432, -85.92669, 390844"
35014,62366,33.35596,-86.2772,"33.35596, -86.2772, 62366"
35016,324392,34.323715,-86.49278,"34.323715, -86.49278, 324392"
35019,33116,34.29254,-86.63505,"34.29254, -86.63505, 33116"
35020,272871,33.405559,-86.95141,"33.405559, -86.95141, 272871"
35022,478496,33.346817,-86.95252,"33.346817, -86.95252, 478496"
35023,464811,33.443039,-87.0193,"33.443039, -87.0193, 464811"
35031,108372,34.111425,-86.5338,"34.111425, -86.5338, 108372"
35033,58236,33.952939,-87.02889,"33.952939, -87.02889, 58236"
35034,55223,32.915182,-87.21488,"32.915182, -87.21488, 55223"
35035,29355,33.041166,-86.95117,"33.041166, -86.95117, 29355"
35040,320753,33.107572,-86.74996,"33.107572, -86.74996, 320753"
35042,92299,32.963486,-87.13867,"32.963486, -87.13867, 92299"
35043,287275,33.317093,-86.66295,"33.317093, -86.66295, 287275"
35044,117773,33.268471,-86.35582,"33.268471, -86.35582, 117773"
35045,220018,32.834501,-86.64355,"32.834501, -86.64355, 220018"
35046,116119,32.894351,-86.56504,"32.894351, -86.56504, 116119"
35049,66517,33.963435,-86.5954,"33.963435, -86.5954, 66517"
35051,170350,33.201789,-86.61584,"33.201789, -86.61584, 170350"
35053,50134,34.041061,-87.06771,"34.041061, -87.06771, 50134"
35054,97955,33.506012,-86.31547,"33.506012, -86.31547, 97955"
35055,329682,34.167893,-86.82506,"34.167893, -86.82506, 329682"
35057,220172,34.139198,-86.92449,"34.139198, -86.92449, 220172"
35058,178366,34.223732,-86.7562,"34.223732, -86.7562, 178366"
35061,23346,33.462541,-86.95736,"33.462541, -86.95736, 23346"
35062,154642,33.731278,-87.0361,"33.731278, -87.0361, 154642"
35063,47318,33.805216,-87.00192,"33.805216, -87.00192, 47318"
35064,160436,33.476908,-86.91684,"33.476908, -86.91684, 160436"
35068,146817,33.611297,-86.81518,"33.611297, -86.81518, 146817"
35071,386993,33.67933,-86.8206,"33.67933, -86.8206, 386993"
35072,63111,33.089342,-86.04682,"33.089342, -86.04682, 63111"
35073,36437,33.640865,-86.96885,"33.640865, -86.96885, 36437"
35077,186885,34.043589,-86.80644,"34.043589, -86.80644, 186885"
35078,40052,33.337092,-86.44085,"33.337092, -86.44085, 40052"
35079,152503,33.922179,-86.7607,"33.922179, -86.7607, 152503"
35080,427720,33.280625,-86.88411,"33.280625, -86.88411, 427720"
35083,45469,34.198738,-86.59814,"34.198738, -86.59814, 45469"
35085,139335,32.96512,-86.74405,"32.96512, -86.74405, 139335"
35087,30044,34.303718,-86.58323,"34.303718, -86.58323, 30044"
35089,19970,32.941708,-86.06098,"32.941708, -86.06098, 19970"
35091,61606,33.77109,-86.80672,"33.77109, -86.80672, 61606"
35094,303754,33.530698,-86.55506,"33.530698, -86.55506, 303754"
35096,138264,33.605233,-86.12079,"33.605233, -86.12079, 138264"
35097,31550,33.896526,-86.63056,"33.896526, -86.63056, 31550"
35098,19337,34.120006,-87.05075,"34.120006, -87.05075, 19337"
35111,376603,33.279946,-87.10148,"33.279946, -87.10148, 376603"
